x,y,date_single
365035.02410657046,565232.5770909154,13/02/2014
355176.81124695594,588126.4543189462,13/02/2014
349654.79765559174,570822.0892501868,13/02/2014
354443.8068865027,585601.5749696635,13/02/2014
362305.7880561293,563256.2557920289,13/02/2014
350620.0268520338,576538.9343536174,13/02/2014
364702.1299844729,565291.7614883182,13/02/2014
349679.71763274644,591643.8727782787,13/02/2014
353443.0904649935,580749.7371298501,13/02/2014
353420.2740099096,581622.6200339075,13/02/2014
356834.37002269435,557410.1738400663,13/02/2014
349868.1568336828,581657.0496023797,13/02/2014
355164.61088114884,582591.6251745197,13/02/2014
351456.7155994892,569231.9481908239,13/02/2014
351028.4804831882,569020.9488748788,13/02/2014
355057.3924540201,571253.0086368133,13/02/2014
359439.145297425,556593.6858925439,13/02/2014
356222.3008510214,565216.1021944957,13/02/2014
349675.82652201323,584780.1334346404,13/02/2014
356243.6674397793,556842.937270919,13/02/2014
350860.8341984726,571271.6474704515,13/02/2014
353384.29382435436,573338.1599898653,14/02/2014
353186.82176235935,587836.9155354777,14/02/2014
359570.8486973197,570722.415272279,14/02/2014
354273.98716580623,593513.5339961981,14/02/2014
361465.46148157783,564861.3538960975,14/02/2014
344582.8748345136,585457.3631904796,14/02/2014
359659.83115543914,560783.4266508394,14/02/2014
355359.13270947675,580473.2472261947,14/02/2014
351795.71759129054,574290.6856210026,14/02/2014
349813.85696317954,583581.5979180207,14/02/2014
349813.85696317954,583581.5979180207,14/02/2014
359202.35951650393,566918.1429223029,14/02/2014
349851.95027483586,585992.5325074174,14/02/2014
355358.5336926018,581382.7333535142,14/02/2014
343872.38789731875,585432.6165113802,14/02/2014
361211.56858252006,571690.7643595376,14/02/2014
351079.9769353637,581342.1925492897,14/02/2014
352433.02734093124,571592.913601769,14/02/2014
355125.95852239704,571381.0508994774,14/02/2014
349456.0164498685,588797.6488969778,14/02/2014
359682.1153790111,556495.5152128764,14/02/2014
356275.0552780807,573677.1559461572,14/02/2014
354609.8692856071,585403.1328672015,14/02/2014
362009.88627365854,566689.5741169167,14/02/2014
364053.2245851209,559374.9393005867,14/02/2014
351528.06735552114,576569.3206103886,14/02/2014
349310.64105216064,570910.1180148203,14/02/2014
352803.33635811607,567482.7065749154,14/02/2014
367118.3068693695,559128.627157932,14/02/2014
356382.299855268,562472.9616901281,14/02/2014
360359.67565661296,568265.9399073095,14/02/2014
354973.25340588466,565919.3752888343,14/02/2014
348350.1864994414,570204.5722434578,14/02/2014
