x,y,date_single
361697.3973175844,562800.9121928823,14/12/2015
359646.4228724689,553946.0995619299,14/12/2015
351274.7691756811,568825.3353002885,14/12/2015
356515.1898633229,588086.5475572201,14/12/2015
351717.95425261225,590560.3306247784,14/12/2015
347302.3019929676,579640.2033832032,14/12/2015
350548.73935111274,586546.7232519778,14/12/2015
358085.2289579691,578332.3034591909,14/12/2015
364195.60193308326,565144.5772868331,14/12/2015
350843.48911216366,586632.3549367536,14/12/2015
352753.66101338953,572406.6693507136,14/12/2015
352984.0597731511,568283.1036612203,14/12/2015
359560.7564026568,566846.58790602,14/12/2015
354594.98843092716,583257.5768169436,14/12/2015
364638.7775966932,563327.2569632793,14/12/2015
362062.3217511235,570743.0746832135,14/12/2015
357691.4013506331,559124.9810554315,14/12/2015
360737.9597223039,565660.2119879134,14/12/2015
349677.64600701927,583878.4376791688,14/12/2015
351585.7053850138,574535.748098074,14/12/2015
353531.1877057875,591511.9339000141,14/12/2015
349246.355377532,567395.1210131845,14/12/2015
351342.1005569912,590494.5103235724,14/12/2015
349280.1865712858,581236.7579188966,14/12/2015
352166.3088389839,579277.1870061792,14/12/2015
350767.9299360819,589268.3172261129,15/12/2015
348831.7631564437,582505.0271536979,15/12/2015
355919.32445030037,565608.1496973127,15/12/2015
348842.76689085166,567348.2569755224,15/12/2015
352425.36402378645,570078.3701082845,15/12/2015
351190.03356987884,588654.0962273676,15/12/2015
350622.46969252126,587266.3533558965,15/12/2015
350179.9222261751,580924.3699531468,15/12/2015
359878.35714671016,560168.0129806915,15/12/2015
355727.29905998014,590870.927018181,15/12/2015
363385.7617569647,566822.1539586959,15/12/2015
350770.61386159394,586944.1793622472,15/12/2015
356672.53056804906,582490.3992215048,15/12/2015
357872.77845113096,563328.5670510224,15/12/2015
363989.8405746506,565320.1221668064,15/12/2015
364722.6120439228,564158.1946468212,15/12/2015
349348.71623626933,578603.6600263511,15/12/2015
358163.57122588216,559901.6428549365,15/12/2015
348056.1043602893,569814.9455317792,15/12/2015
348836.3587375276,567568.2468753296,15/12/2015
353479.66842662473,572250.9030515676,15/12/2015
358729.2740635368,579652.7305447989,15/12/2015
353836.281540523,579312.8277695117,15/12/2015
359420.547170884,567068.4595439564,15/12/2015
351826.77139159216,576737.8752715475,15/12/2015
351672.55822609074,581397.6751077151,15/12/2015
362406.6957289509,566490.2018844928,15/12/2015
357506.45306303,565578.301583645,15/12/2015
359051.19104553387,558200.8174896159,15/12/2015
354244.7632623579,581196.2153251928,15/12/2015
348922.59961643355,578726.4570195418,15/12/2015
360182.58777892316,560175.0044436082,15/12/2015
347289.84295674885,586967.0357065797,15/12/2015
357150.1409684704,563717.4058542547,15/12/2015
360485.2148733324,562599.188847986,15/12/2015
353940.8327253447,566698.1351304201,15/12/2015
359005.47660905065,562780.2222125496,15/12/2015
355152.171158068,581359.5827210878,15/12/2015
364517.17123069474,561477.4200508273,15/12/2015
361631.9146197395,566075.7259250657,15/12/2015
350466.43835682265,574704.0161084692,15/12/2015
356266.1611377752,580998.083456607,16/12/2015
356932.8101964753,582541.683933945,16/12/2015
348554.74244988436,585675.3191753988,16/12/2015
349942.4679775984,587437.3739917203,16/12/2015
357206.7914552673,561936.7969234602,16/12/2015
355088.4567624981,591296.3658724513,16/12/2015
361911.4102250961,569216.6914505196,16/12/2015
351319.88765518606,565816.258040498,16/12/2015
357382.9570269625,573825.6010985395,16/12/2015
350930.92665596167,582388.007121569,16/12/2015
356725.79320208286,585714.9445617032,16/12/2015
363906.30922443286,564550.1762022877,16/12/2015
354218.2301182586,584905.6227003805,16/12/2015
348633.70720011933,585503.3592349251,16/12/2015
351503.99887388444,580758.8825568033,16/12/2015
360690.6718206793,567292.7244507809,16/12/2015
347730.25483331736,578760.0215617708,16/12/2015
348022.81939632574,582519.7373299685,16/12/2015
353293.1336081439,582622.125982049,16/12/2015
359089.56914551364,566510.0105778994,16/12/2015
356621.6110732249,586165.0877778953,16/12/2015
350925.48807367554,585128.7538459545,16/12/2015
351115.9979748956,584193.6424557145,16/12/2015
351667.02209290036,588368.5294349318,16/12/2015
360530.3708469502,567566.8319347388,16/12/2015
357695.42631272745,562531.7380573198,16/12/2015
355484.40737351467,565699.6199942834,16/12/2015
358091.952314451,555147.0402789707,16/12/2015
364213.85430857114,564315.4493090194,16/12/2015
359198.0811617902,570295.0083071644,16/12/2015
351292.16785385925,563394.6870696659,16/12/2015
347600.7194615803,582204.5600755996,16/12/2015
355577.6262097702,564790.6529031127,16/12/2015
358590.58765914233,562034.6209136652,16/12/2015
352365.9881634624,591823.4744489372,16/12/2015
349162.50354214926,570217.0030836527,16/12/2015
359521.4585895766,558464.8391390723,16/12/2015
347852.16150618263,580284.8845399466,16/12/2015
357555.79519954254,560296.9320407929,16/12/2015
357952.00914202054,574365.3622627684,16/12/2015
361571.8945576524,564671.7753511346,16/12/2015
349345.04467851034,587374.2183474766,16/12/2015
355376.82239226426,594342.9297713954,16/12/2015
357091.89767503453,565960.1853496236,16/12/2015
350584.67842012306,564812.927672549,16/12/2015
359568.11318361363,566592.2880548174,16/12/2015
351482.37004040065,590808.0963571764,16/12/2015
352590.2837033589,567883.7758371944,16/12/2015
352337.92627421394,567036.4369897761,16/12/2015
350843.2142306833,575726.0166350852,16/12/2015
350989.79671756056,574087.0577184263,16/12/2015
352337.92627421394,567036.4369897761,16/12/2015
356781.9279587056,573524.6664866497,17/12/2015
351282.06957346335,567610.6960643491,17/12/2015
354563.2316740372,569779.9288479532,17/12/2015
354613.2414227237,583657.1473177534,17/12/2015
363667.08878442674,566147.6453586015,17/12/2015
356241.2284707724,574659.2374907269,17/12/2015
357186.96467442985,583994.2762303734,17/12/2015
354329.80514187185,589435.6344687571,17/12/2015
